timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,Architecture,BogoMIPS,Byte Order,CPU MHz,CPU family,CPU max MHz,CPU min MHz,CPU op-mode(s),CPU(s),Core(s) per socket,Flags,L1d cache,L1i cache,L2 cache,L3 cache,Model,Model name,NUMA node(s),NUMA node0 CPU(s),On-line CPU(s) list,Socket(s),Stepping,Thread(s) per core,Vendor ID,Virtualization,bw_agg,bw_dev,bw_max,bw_mean,bw_min,cloud,data_disk_0_num_stripes,data_disk_0_size,data_disk_0_type,data_disk_count,direct,directory,end_fsync,filename,filesize,fio_job,image,invalidate,iodepth,ioengine,kernel_release,max,mean,min,node_name,num_cpus,numa_node_count,os_info,os_type,overwrite,p1,p10,p20,p30,p40,p5,p50,p60,p70,p80,p90,p95,p99,p99.5,p99.9,p99.95,p99.99,perfkitbenchmarker_version,randrepeat,run_number,rw,size,stddev,tcp_congestion_control,vm_count,workload_mode,zone
1570834021.728953,block_storage_workload,sequential_write:write:latency:p99.9,14272,usec,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,ba991c66-106c-448b-b8bf-03eb7d8fbab6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes,1,500,emptyDir,1,0,/scratch,1,fio_test_file,10g,sequential_write,ubuntu,1,8,libaio,4.18.0-15-generic,,,,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,0,,,,,,,,,,,,,,,,,,v1.12.0-1400-g06dbabf9,0,0,write,32812432k,,cubic,11,logging,
1570834021.728953,block_storage_workload,sequential_write:write:latency:p99.95,14400,usec,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,df2f0be4-18bc-496b-b402-53492624fd39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes,1,500,emptyDir,1,0,/scratch,1,fio_test_file,10g,sequential_write,ubuntu,1,8,libaio,4.18.0-15-generic,,,,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,0,,,,,,,,,,,,,,,,,,v1.12.0-1400-g06dbabf9,0,0,write,32812432k,,cubic,11,logging,
1570834021.728953,block_storage_workload,sequential_write:write:latency:p99.99,18304,usec,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,1237fd10-2d9f-4a67-8161-4becece1ab84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes,1,500,emptyDir,1,0,/scratch,1,fio_test_file,10g,sequential_write,ubuntu,1,8,libaio,4.18.0-15-generic,,,,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,0,,,,,,,,,,,,,,,,,,v1.12.0-1400-g06dbabf9,0,0,write,32812432k,,cubic,11,logging,
1570834021.728953,block_storage_workload,sequential_write:write:iops,34536.711329,,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,66356eb3-bf32-445b-aad0-78be575a710c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes,1,500,emptyDir,1,0,/scratch,1,fio_test_file,10g,sequential_write,ubuntu,1,8,libaio,4.18.0-15-generic,,,,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,0,,,,,,,,,,,,,,,,,,v1.12.0-1400-g06dbabf9,0,0,write,32812432k,,cubic,11,logging,
1570834021.730089,block_storage_workload,random_read:read:bandwidth,482,KB/s,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,4f2b2178-24ec-450e-a4eb-75b6e68bacdf,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,0,Kubernetes,1,500,emptyDir,1,0,/scratch,,fio_test_file,10g,random_read,ubuntu,1,8,libaio,4.18.0-15-generic,,,,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,,,,,,,,,,,,,,,,,,,v1.12.0-1400-g06dbabf9,0,0,randread,3281243k,,cubic,11,logging,
1570834021.728953,block_storage_workload,random_read:read:latency,58017.771485,usec,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,cb801643-a727-47e8-aaad-a29ff46304e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes,1,500,emptyDir,1,0,/scratch,,fio_test_file,10g,random_read,ubuntu,1,8,libaio,4.18.0-15-generic,804878,58017.771485,9,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,,38144,44800,47872,50432,51968,42752,54016,56064,58112,60672,67072,90624,136192,162816,387072,489472,602112,v1.12.0-1400-g06dbabf9,0,0,randread,3281243k,24031.353415,cubic,11,logging,
1570834021.728953,block_storage_workload,random_read:read:latency:min,9,usec,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,db2f5e72-7cf8-4b50-9c5d-0990b66a75a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes,1,500,emptyDir,1,0,/scratch,,fio_test_file,10g,random_read,ubuntu,1,8,libaio,4.18.0-15-generic,,,,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,,,,,,,,,,,,,,,,,,,v1.12.0-1400-g06dbabf9,0,0,randread,3281243k,,cubic,11,logging,
1570834021.728953,block_storage_workload,random_read:read:latency:max,804878,usec,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,e23b5a7a-7522-4a3f-8aa5-be95854ea1dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes,1,500,emptyDir,1,0,/scratch,,fio_test_file,10g,random_read,ubuntu,1,8,libaio,4.18.0-15-generic,,,,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,,,,,,,,,,,,,,,,,,,v1.12.0-1400-g06dbabf9,0,0,randread,3281243k,,cubic,11,logging,
1570834021.728953,block_storage_workload,random_read:read:latency:mean,58017.771485,usec,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,7d2079ca-13e8-4ed8-9d00-98f7ac930a97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes,1,500,emptyDir,1,0,/scratch,,fio_test_file,10g,random_read,ubuntu,1,8,libaio,4.18.0-15-generic,,,,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,,,,,,,,,,,,,,,,,,,v1.12.0-1400-g06dbabf9,0,0,randread,3281243k,,cubic,11,logging,
1570834021.728953,block_storage_workload,random_read:read:latency:stddev,24031.353415,usec,PerfKitBenchmarker,False,kubernetes,bfc33b42-5c12f681-73bd-466f-9c82-b6e88b1f1ef9,1031a88a-b702-4125-8e6c-41acf22e41f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes,1,500,emptyDir,1,0,/scratch,,fio_test_file,10g,random_read,ubuntu,1,8,libaio,4.18.0-15-generic,,,,,8,1,Ubuntu 18.04.3 LTS,ubuntu1604,,,,,,,,,,,,,,,,,,,v1.12.0-1400-g06dbabf9,0,0,randread,3281243k,,cubic,11,logging,
